number,customer,description,price,country,url_addr,deadline
2019-718120,"ОАО ""АСБ Беларусбанк""","Выполнение строительных, специальных, монтажных работ",2 747 283,BLR,http://www.icetrade.by/tenders/all/view/718120,2019-06-26
2019-718118,"КУП ""Тендерный центр Мингорисполкома""","Выбор подрядной организации на выполнение строительно-монтажных работ на объекте «Замена 6-ти лифтов в жилом доме по адресу: ул. Асаналиева, д.28 в г. Минске» в интересах Государственного предприятия «Жилищное коммунальное хозяйство Октябрьского района г. Минска»,КС300-06/191",132 000,BLR,http://www.icetrade.by/tenders/all/view/718118,2019-07-09
2019-718113,Городская клиническая больница скорой медицинской помощи,Системы одноразовые для взятия венозной и капиллярной крови типа S-Monovette и  Microvette,0,BLR,http://www.icetrade.by/tenders/all/view/718113,2019-06-25
2019-718108,"ОАО ""Мозырский НПЗ""",Переговоры по выбору подрядчика на выполнение проектных работ по объекту «Замена грузопассажирского лифта в столовой № 2 на малый грузовой лифт грузоподъемностью до 250 кг.».,1,BLR,http://www.icetrade.by/tenders/all/view/718108,2019-06-26
2019-718106,"КУП ""Тендерный центр Мингорисполкома""","Выбор подрядной организации  на выполнение строительно-монтажных работ на объекте строительства: «Замена 6-ти лифтов в жилом доме по адресу: ул. Могилевская, д. 4 корпус 4  в г. Минске» в интересах  Государственного предприятия «Жилищное коммунальное хозяйство Октябрьского района г. Минска», КС316-06/191",132 000,BLR,http://www.icetrade.by/tenders/all/view/718106,2019-07-09
2019-718801,"ОАО ""Белтопгазкомплект""",Закупка станций катодной защиты,0,BLR,http://www.icetrade.by/tenders/all/view/718801,2019-06-27
2019-718800,"ОАО ""Могилевский мясокомбинат""","Ящик из гофрированного картона ""крышка-дно""",0,BLR,http://www.icetrade.by/tenders/all/view/718800,2019-06-27
2019-718799,"КУП ""Тендерный центр Мингорисполкома""","Выбор подрядной организации на выполнение строительно-монтажных работ на объекте «Замена 5-ти лифтов в жилом доме по адресу: ул. Бакинская, д. 12 в г. Минске» в интересах Государственного предприятия «Жилищное коммунальное хозяйство Октябрьского района г. Минска», КС307-06/191",110 000,BLR,http://www.icetrade.by/tenders/all/view/718799,2019-07-11
2019-718791,"ГУ ""БОРИСОВСКОЕ ЭУ ВС""",Закупка энергосберегающего осветительного оборудования,0,BLR,http://www.icetrade.by/tenders/all/view/718791,2019-06-26
2019-718785,6-я городская клиническая больница,Приобретение мебели медицинской различной для оснащения режимных эндоскопических кабинетов с целью организации работы эндоскопического отделения на новых площадях,78 800,BLR,http://www.icetrade.by/tenders/all/view/718785,2019-06-26
2019-718784,УО Администрации Московского района г. Минска,"Текущий ремонт душевых и санузлов на объектах, подведомственных управлению по образованию администрации Московского района г. Минска.",240 000,BLR,http://www.icetrade.by/tenders/all/view/718784,2019-07-08
2019-718783,"ОАО ""БЗПИ""",Закупка полимерного сырья,5 750 500,BLR,http://www.icetrade.by/tenders/all/view/718783,2019-06-28
2019-718774,"Унитарное предприятие ""Ремонтхиммонтаж""",Плиты древесно-стружечные с двусторонним ламинированным покрытием (ЛДСП),45 574.62,BLR,http://www.icetrade.by/tenders/all/view/718774,2019-06-27
2019-718772,"ГУПП ""Ивацевичское ЖКХ""",Закупка станций обезжелезивания по объектам Ивацевичского района,406 920,BLR,http://www.icetrade.by/tenders/all/view/718772,2019-06-27
2019-718771,"ОАО ""Гродно Азот""",Пленка полиэтиленовая,0,BLR,http://www.icetrade.by/tenders/all/view/718771,2019-06-27
2019-718770,"КУП ""Тендерный центр Мингорисполкома""","Выбор подрядчика на выполнение строительно-монтажных работ на объекте строительства «Капитальный ремонт жилого дома № 15 по ул. Аэродромная в г. Минске» в интересах коммунального унитарного предприятия «Жилищное коммунальное хозяйство Октябрьского района г. Минска»,КС154-04/192",699 148,BLR,http://www.icetrade.by/tenders/all/view/718770,2019-06-27
2019-718769,"ОАО ""Витко-Агро""","Закупка железобетонных изделий для объекта ""Строительство двух силосно -сенажных траншей возле д.Целевичи Слуцкого района""",0,BLR,http://www.icetrade.by/tenders/all/view/718769,2019-06-26
2019-718768,"ГУО ""Гродненская городская гимназия""",Закупка компьютерного класса,0,BLR,http://www.icetrade.by/tenders/all/view/718768,2019-06-26
2019-718764,"Республиканское дочернее торговое унитарное предприятие ""Медтехника"" г. Барановичи",БарМТ №348/19 Фиброгастродуоденоскоп. Гастроинтестинальный видеоскоп,0,BLR,http://www.icetrade.by/tenders/all/view/718764,2019-06-27
2019-718763,"Унитарное предприятие ""УКС Лунинецкого района""","закупка оборудования для ОАО ""Вульковский рассвет""",200 000,BLR,http://www.icetrade.by/tenders/all/view/718763,2019-06-26
2019-718762,"ГО ""Гомельмелиоводхоз""",выполнение проектно-изыскательских работ по  объектам реконструкции мелиоративных систем Гомельской области,145 800,BLR,http://www.icetrade.by/tenders/all/view/718762,2019-07-08
2019-718757,"ОАО ""Гродно Азот""",кислота уксусной синтетической по 2 лотам на август - декабрь 2019 года.,0,BLR,http://www.icetrade.by/tenders/all/view/718757,2019-06-28
2019-718753,"ОАО ""Минский молочный завод № 1""",Закупка упаковочного материала из пленки полиэтиленовой FPO ® PE с печатью и без печати.,537 000,BLR,http://www.icetrade.by/tenders/all/view/718753,2019-06-27
2019-718752,"Государственное предприятие ""Коммунальник Калинковичский""","Выбор проектной организации для выполнения работ по разработке тех. задания, ПСД с прохождением государственной экспертизы по объекту: «Устройство системы видеонаблюдения на площади Ленина в г.Калинковичи».",5 300,BLR,http://www.icetrade.by/tenders/all/view/718752,2019-07-05
2019-718750,"Баскетбольный клуб ""Минск-2006""",Закупка услуг по подготовке и обеспечению проведения спортивных мероприятий (баскетбольных матчей) на спортивной арене,0,BLR,http://www.icetrade.by/tenders/all/view/718750,2019-06-26
2019-718745,"РУП ""БЕЛТЕЛЕКОМ""","Переговоры по модернизации объектов связи по Минской области (строительство телефонной канализации, прокладка ВОК и парного кабеля, строительство сетей PON. MSAN. DSLAM. станционных сооружений связи)",429 315.59,BLR,http://www.icetrade.by/tenders/all/view/718745,2019-07-12
2019-718744,"КУП ""Тендерный центр Мингорисполкома""","Выбор подрядчика на выполнение строительно-монтажных работ на объекте строительства «Капитальный ремонт жилого дома № 43 по ул. Казинца в г. Минске» в интересах коммунального унитарного предприятия «Жилищное коммунальное хозяйство Октябрьского района г. Минска»,КС155-04/192",1 010 591,BLR,http://www.icetrade.by/tenders/all/view/718744,2019-06-27
2019-718743,"Государственное предприятие ""УКС Минского района""","Выбор проектной организации для выполнения предпроектных работ по объектам  (д. Чертяж, д. Новое Поле)",72 538.80,BLR,http://www.icetrade.by/tenders/all/view/718743,2019-07-08
