number,customer,description,price,country,url_addr,deadline
2019-726889,Министерство связи и информатизации Республики Беларусь,Закупка опытно-конструкторской работы «Разработка криптографического токена аутентификации на идентификационной карте» по мероприятию 12 «Создание Белорусской интегрированной сервисно-расчетной системы» (Этап 2 – Создание информационно-коммуникационной инфраструктуры Белорусской интегрированной сервисно-расчетной системы (внедрение пилотной зоны)) подпрограммы 2 «Инфраструктура информатизации» Государственной программы развития цифровой экономики и информационного общества на 2016-2020 годы,0,BLR,http://www.icetrade.by/tenders/all/view/726889,2019-07-29
2019-726888,"ОМТС РУП ""Гомельское отделение Белорусской железной дороги""",Технические средства ориентирования (ТСО) в ассортименте,16 000,BLR,http://www.icetrade.by/tenders/all/view/726888,2019-07-01
2019-726887,БЕЛОРУССКАЯ СЕЛЬСКОХОЗЯЙСТВЕННАЯ БИБЛИОТЕКА ИМ. И.С.ЛУПИНОВИЧА,Книги: научно-техническая литература,0,BLR,http://www.icetrade.by/tenders/all/view/726887,2019-07-23
2019-726886,Командование Военно-воздушных сил и войск противовоздушной обороны,булочка из муки пшеничной высшего сорта с содержанием сахара и жира в сумме не менее 14% от общей массы,3 276.80,BLR,http://www.icetrade.by/tenders/all/view/726886,2019-07-05
2019-726885,Департамент финансов и тыла МВД РБ,закупка оборудования для модернизации ведомственной сети передачи данных МВД Республики Беларусь,0,BLR,http://www.icetrade.by/tenders/all/view/726885,2019-07-16
2019-726884,"ООО ""Котлоэнергосервис-СМУ""",Закупка услуг  на строительно-монтажные работы,313 180,BLR,http://www.icetrade.by/tenders/all/view/726884,2019-07-05
2019-726883,Департамент финансов и тыла МВД РБ,закупка расходных материалов для принтеров и копировально-множительной техники,0,BLR,http://www.icetrade.by/tenders/all/view/726883,2019-07-16
2019-726882,Национальное агентство по туризму,Работа по созданию аудиовизуальных произведений - видеороликов о туристическом потенциале Республики Беларусь,70 000,BLR,http://www.icetrade.by/tenders/all/view/726882,2019-07-11
2019-726881,БГУ,"«Оборудование для работы с альгологическими, микологическими и гидробиологическими объектами» Программа 14 подпрограмма 5 «Развитие системы высшего образования»",19 000,BLR,http://www.icetrade.by/tenders/all/view/726881,2019-07-04
2019-726880,Департамент финансов и тыла МВД РБ,"закупка услуг продления прав использования технической поддержки программного обеспечения, обеспечивающего резервирование, архивирование, хранение и восстановление данных и программ",0,BLR,http://www.icetrade.by/tenders/all/view/726880,2019-07-11
